Designator,Mid X,Mid Y,Rotation,Layer
SW45,323.85,-80.9625,0.0,bottom
SW46,347.6625,-80.9625,0.0,bottom
SW47,69.05625,-100.0125,0.0,bottom
SW48,95.25,-100.0125,0.0,bottom
SW49,114.3,-100.0125,0.0,bottom
SW5,138.1125,-42.8625,0.0,bottom
SW50,133.35,-100.0125,0.0,bottom
SW51,152.4,-100.0125,0.0,bottom
SW52,171.45,-100.0125,0.0,bottom
SW53,190.5,-100.0125,0.0,bottom
SW54,209.55,-100.0125,0.0,bottom
SW55,228.6,-100.0125,0.0,bottom
SW56,247.65,-100.0125,0.0,bottom
SW57,266.7,-100.0125,0.0,bottom
SW58,285.75,-100.0125,0.0,bottom
SW59,316.70625,-100.0125,0.0,bottom
SW6,157.1625,-42.8625,0.0,bottom
SW60,347.6625,-100.0125,0.0,bottom
SW61,73.81875,-119.0625,0.0,bottom
SW62,104.775,-119.0625,0.0,bottom
SW63,123.825,-119.0625,0.0,bottom
SW64,142.875,-119.0625,0.0,bottom
SW65,161.925,-119.0625,0.0,bottom
SW66,180.975,-119.0625,0.0,bottom
SW67,200.025,-119.0625,0.0,bottom
SW68,219.075,-119.0625,0.0,bottom
SW69,238.125,-119.0625,0.0,bottom
SW7,176.2125,-42.8625,0.0,bottom
SW70,257.175,-119.0625,0.0,bottom
SW71,276.225,-119.0625,0.0,bottom
SW72,302.41875,-119.0625,0.0,bottom
SW73,328.6125,-119.0625,0.0,bottom
SW74,347.6625,-119.0625,0.0,bottom
SW75,64.29375,-138.1125,0.0,bottom
SW76,88.10625,-138.1125,0.0,bottom
SW77,111.91875,-138.1125,0.0,bottom
SW78,183.35625,-138.1125,0.0,bottom
SW79,252.4125,-138.1125,0.0,bottom
SW8,195.2625,-42.8625,0.0,bottom
SW80,271.4625,-138.1125,0.0,bottom
SW81,290.5125,-138.1125,0.0,bottom
SW82,309.5625,-138.1125,0.0,bottom
SW83,328.6125,-138.1125,0.0,bottom
SW84,347.6625,-138.1125,0.0,bottom
SW9,214.3125,-42.8625,0.0,bottom
U1,59.0,-88.5,180.0,bottom
U2,54.9,-66.8375,270.0,bottom
U3,63.7125,-50.3625,180.0,bottom
